Time,Strain_Energy,Surface_Energy,Impactor_KE,Domain_KE,Imp_disp,dom_hit_disp
1.28,143.74128369215663,0.33374062551226635,7787.622226143385,79.30663327506285,4.070928854874609e-05,3.6847231257341965e-05
1.29,147.04263836040892,0.33924935499588493,7785.308606214093,79.57825509793426,4.102454072830343e-05,3.7334594419080586e-05
1.3,150.31822100626877,0.34455063612181097,7783.147136179689,79.57240599329472,4.1339747672500096e-05,3.781180343015374e-05
1.31,153.5103379278484,0.3496281235788245,7781.123001248751,79.34255770741888,4.1654912327389455e-05,3.827332431501475e-05
1.32,156.5621617589883,0.3544725163714944,7779.217555021075,78.95511817354182,4.1970037297025006e-05,3.871419810881654e-05
1.33,159.42020409686776,0.3597747353363307,7777.409155498164,78.48242073004839,4.228512477433209e-05,3.9130173569261516e-05
1.34,162.03884347515356,0.3654688385735061,7775.6739302930855,77.99575828499589,4.260017648839134e-05,3.95178129613596e-05
1.35,164.38285814864446,0.37094545472427204,7773.986437116049,77.55917198210713,4.291519366629789e-05,3.9874571579857925e-05
1.36,166.42847353077968,0.3761555189142075,7772.320207382352,77.22454352473596,4.323017700720655e-05,4.019885341201736e-05
1.37,168.16533363079986,0.38109123510584947,7770.64819437972,77.02831453838982,4.3545126666224334e-05,4.0490045776346615e-05
1.3800000000000001,169.59715701816847,0.38573366704279055,7768.943172756825,76.98998547710882,4.38600422466194e-05,4.074853425226293e-05
1.3900000000000001,170.74144469906267,0.39008592323328406,7767.1781452331315,77.11242900763314,4.417492279989832e-05,4.09756983575046e-05
1.4,171.62778444791198,0.39475570389840536,7765.326813901889,77.38393950205729,4.448976683448405e-05,4.1173887090680955e-05
1.4100000000000001,172.29730181136574,0.3996171637548486,7763.364159238593,77.78181665885796,4.480457233487281e-05,4.1346372417771535e-05
1.42,172.79945838216864,0.40453884315683086,7761.267148400988,78.27715403613632,4.511933679375479e-05,4.149727770248657e-05
1.4300000000000002,173.18896473648923,0.40957898364902007,7759.015564844647,78.84034909670726,4.543405725986171e-05,4.163147853076543e-05
1.44,173.52275519547229,0.4149615141056214,7756.5929219855025,79.44668795886393,4.574873040371171e-05,4.175447417379511e-05
1.4500000000000002,173.85758569689256,0.4205441451784508,7753.987395431785,80.08124164331001,4.606335260252148e-05,4.187222942940584e-05
1.46,174.24674306406268,0.4265348319271426,7751.192693454368,80.74229010114009,4.637792004381244e-05,4.1990988775800125e-05
1.4700000000000002,174.73774666800813,0.43384151235057133,7748.208773408738,81.44259527281443,4.6692428845739315e-05,4.211706728102746e-05
1.48,175.3734075120511,0.4415113840294289,7745.042316559317,82.20806595532312,4.700687518993104e-05,4.225662542233649e-05
1.4900000000000002,176.18895988139099,0.44921171723108355,7741.706885715785,83.07377685619969,4.732125546132248e-05,4.2415436676845745e-05
1.5,177.21244199272027,0.4568999077357316,7738.222710290527,84.07776939345972,4.763556638769037e-05,4.259865925401943e-05
1.51,178.4655297359596,0.46453194887381344,7734.616078662844,85.25347918594413,4.794980517110215e-05,4.281062394043474e-05
1.52,179.96433989111722,0.4720572509374879,7730.918348842568,86.62199590522715,4.826396960314214e-05,4.305465005626866e-05
1.53,181.72018110666878,0.47943308635060106,7727.164625622402,88.18550925888101,4.8578058156531316e-05,4.33329005481282e-05
1.54,183.74002647463877,0.48663743659956854,7723.392181295983,89.9231830500533,4.8892070046916684e-05,4.36462852482315e-05
1.55,186.02590958744366,0.4943629669336567,7719.638729539545,91.79033877240396,4.9206005260540324e-05,4.399441849874793e-05
1.56,188.57617931804316,0.5021483802904014,7715.940669662297,93.721277228982,4.951986454598616e-05,4.437563403899057e-05
1.57,191.3834317660256,0.5096221734854872,7712.33142288122,95.63544490115066,4.983364937046363e-05,4.478705596540505e-05
1.58,194.43309070402202,0.5167444805564724,7708.839975096386,97.44606548780192,5.0147361843773904e-05,4.5224721482159876e-05
1.59,197.70062457059797,0.5253276785884101,7705.489714106805,99.0699464478874,5.046100461509367e-05,4.568374785330018e-05
1.5999999999999999,201.1557320387866,0.5339875217896026,7702.297627481636,100.43695727126004,5.077458074932958e-05,4.615853417267062e-05
1.61,204.7574316169559,0.5426311345572497,7699.273884413093,101.49780902116858,5.108809359091427e-05,4.664298445789738e-05
1.6199999999999999,208.45577125917396,0.5511598400096732,7696.421794444106,102.22913640996897,5.1401546622787146e-05,4.713074166494134e-05
1.6300000000000001,212.19299304896182,0.5595922433712786,7693.73810366259,102.63530233838108,5.1714943328179174e-05,4.7615420859186006e-05
1.64,215.90581361966156,0.5679170609702936,7691.2135618021075,102.74689483814187,5.202828706136886e-05,4.8090831362411295e-05
1.6500000000000001,219.52833852248423,0.5760553492462064,7688.833679293007,102.616361558938,5.2341580932334544e-05,4.855117977921764e-05
1.66,222.99541177653862,0.583932789895436,7686.57958540578,102.31156405134747,5.265482770818168e-05,4.8991248222218176e-05
1.6700000000000002,226.24624812174628,0.5915005291830436,7684.428907724498,101.90820716262637,5.2968029732644744e-05,4.940654452314086e-05
1.68,229.22802994714672,0.598714425894571,7682.356606772339,101.48210815826614,5.328118886328545e-05,4.979342340126267e-05
1.6900000000000002,231.89912883398853,0.6055206749687426,7680.335726387579,101.1021559178882,5.3594306424976134e-05,5.01491792445371e-05
1.7,234.2316526155966,0.6118908892347726,7678.338043409664,100.824621789211,5.3907383177670126e-05,5.047211213489497e-05
1.71,236.21318910527077,0.617818258974452,7676.334634359176,100.68926743373054,5.422041929636659e-05,5.0761568965164666e-05
1.72,237.84756818256702,0.623329774497003,7674.296399510537,100.71749410795097,5.453341436198075e-05,5.101796099915475e-05
1.73,239.15460569250953,0.6284816384003009,7672.1945928182395,100.91260138483267,5.484636736266909e-05,5.1242758237394274e-05
1.74,240.1686317557093,0.6335889075226875,7670.00140983461,101.26206287853454,5.5159276706292724e-05,5.1438459790832975e-05
1.75,240.9368959838322,0.6386740754007068,7667.6906747149105,101.74156903516634,5.5472140245697475e-05,5.160853852832076e-05
1.76,241.51328078550029,0.6470461860405861,7665.238641024804,102.32042903292316,5.578495531917531e-05,5.175735744809721e-05
1.77,241.9633821068967,0.6564638325813784,7662.624892753848,102.96768161211394,5.609771880839694e-05,5.189005575791004e-05
