Time,Strain_Energy,Surface_Energy,crack_tip_x,crack_tip_y
1.2700000000000001e-06,74.23291849873438,0.0009217243080276651,0.049,0.025
1.28e-06,75.53463479619238,0.0009650104758490583,0.049,0.025
1.29e-06,76.8358745484334,0.0010095189739305385,0.049,0.025
1.3e-06,78.13672740984367,0.001055242994708655,0.049,0.025
1.31e-06,79.43727362938814,0.0011021763527608267,0.049,0.025
1.32e-06,80.73757809385121,0.0011503139590032724,0.049,0.025
1.33e-06,82.03768574443765,0.0011996525282155965,0.049,0.025
1.34e-06,83.33761872904239,0.001250191086359037,0.049,0.025
1.35e-06,84.63737554869611,0.0013019314768339314,0.049,0.025
1.3600000000000001e-06,85.93693227792168,0.0013548789565006585,0.049,0.025
1.37e-06,87.2362457157582,0.0014090428741711097,0.049,0.025
1.3800000000000001e-06,88.53525810319074,0.001464436056277584,0.049,0.025
1.39e-06,89.83390285671712,0.0015210744198657477,0.049,0.025
1.4e-06,91.13211067021533,0.0015789763897746001,0.049,0.025
1.41e-06,92.42981533180149,0.0016381620768195365,0.049,0.025
1.42e-06,93.72695869239294,0.0016986520077050956,0.049,0.025
1.43e-06,95.02349438408321,0.0017604661301489257,0.049,0.025
1.44e-06,96.31939009101244,0.0018236229708449635,0.049,0.025
1.45e-06,97.6146283788655,0.0018881390390480405,0.049,0.025
1.46e-06,98.90920625930976,0.001954028250785629,0.049,0.025
1.4700000000000001e-06,100.20313377559256,0.0020213016262331453,0.049,0.025
1.48e-06,101.49643193817263,0.0020899673457097753,0.049,0.025
1.4900000000000001e-06,102.78913031985272,0.0021600305832429074,0.049,0.025
1.5e-06,104.08126455255841,0.0022314930043305196,0.049,0.025
1.51e-06,105.37287387878628,0.0023043525567133776,0.049,0.025
1.52e-06,106.66399882761817,0.0023786037955168355,0.049,0.025
1.53e-06,107.95467902713641,0.0024542380242191884,0.049,0.025
1.54e-06,109.24495113721086,0.002531243777089371,0.049,0.025
1.55e-06,110.5348468983108,0.002609607354483914,0.049,0.025
1.56e-06,111.82439132688346,0.0026893139344310356,0.049,0.025
1.57e-06,113.11360113914661,0.002770348234883405,0.049,0.025
1.5800000000000001e-06,114.402483523416,0.0028526957104687656,0.049,0.025
1.59e-06,115.69103540547572,0.0029363439421598928,0.049,0.025
1.6e-06,116.97924334438635,0.0030212829718957324,0.049,0.025
1.61e-06,118.26708415073666,0.0031075051709940574,0.049,0.025
1.62e-06,119.55452625098127,0.003195004844812934,0.049,0.025
1.63e-06,120.84153173582928,0.003283777896280303,0.049,0.025
1.64e-06,122.12805894405702,0.0033738217056418886,0.049,0.025
1.65e-06,123.414065362965,0.003465133999570892,0.049,0.025
1.66e-06,124.69951057364831,0.003557712737339707,0.049,0.025
1.67e-06,125.98435896314984,0.0036515561277189823,0.049,0.025
1.68e-06,127.26858194860516,0.0037466627800313112,0.049,0.025
1.6900000000000001e-06,128.55215951573265,0.003843032001737859,0.049,0.025
1.7e-06,129.83508095362538,0.003940664974814511,0.049,0.025
1.71e-06,131.1173447653024,0.004039565064621325,0.049,0.025
1.72e-06,132.3989578199431,0.004139737659469285,0.049,0.025
1.73e-06,133.6799338903257,0.004241189519863912,0.049,0.025
1.74e-06,134.96029177148702,0.0043439282179508105,0.049,0.025
1.75e-06,136.24005320213544,0.004447962224687638,0.049,0.025
1.76e-06,137.51924081152475,0.004553299949112461,0.049,0.025
1.77e-06,138.79787628034896,0.00465994866774248,0.049,0.025
1.7800000000000001e-06,140.07597885633282,0.004767914339298273,0.049,0.025
1.79e-06,141.35356431125143,0.00487720121479082,0.049,0.025
1.8000000000000001e-06,142.63064436339914,0.004987811627217882,0.049,0.025
1.81e-06,143.90722653557523,0.005099746538091679,0.049,0.025
1.82e-06,145.1833143802174,0.005213005959368385,0.049,0.025
1.83e-06,146.458907974528,0.005327589691911163,0.049,0.025
1.84e-06,147.73400458275538,0.005443497144158364,0.049,0.025
1.85e-06,149.00859938482847,0.005560726891619905,0.049,0.025
1.86e-06,150.28268618768644,0.00567927710696723,0.049,0.025
1.87e-06,151.55625806429956,0.005799146689658324,0.049,0.025
1.88e-06,152.82930789920138,0.005920334716576741,0.049,0.025
1.8900000000000001e-06,154.10182883887796,0.006042839815962298,0.049,0.025
1.9e-06,155.37381466727533,0.006166660752480559,0.049,0.025
1.91e-06,156.6452601443277,0.006291796580633233,0.049,0.025
1.9200000000000003e-06,157.91616134105874,0.006418246938669996,0.049,0.025
1.93e-06,159.18651599391112,0.006546012380157424,0.049,0.025
1.94e-06,160.45632387925278,0.006675094284243006,0.049,0.025
1.95e-06,161.7255871797845,0.006805494340379595,0.049,0.025
1.96e-06,162.99431078523068,0.006937214031308132,0.049,0.025
1.97e-06,164.26250244841782,0.007070254587313923,0.049,0.025
1.98e-06,165.53017271097048,0.007204617778930714,0.049,0.025
1.99e-06,166.79733452882033,0.007340306252875246,0.049,0.025
2e-06,168.06400255889903,0.0074773230202471565,0.049,0.025
2.0100000000000002e-06,169.33019211618978,0.007615671588727463,0.049,0.025
2.02e-06,170.59591787510988,0.0077553567392681785,0.049,0.025
2.03e-06,171.86119245092885,0.007896385434091751,0.049,0.025
2.04e-06,173.12602504459218,0.008038766618181344,0.049,0.025
2.05e-06,174.39042034868197,0.008182510906662587,0.049,0.025
2.06e-06,175.65437789948982,0.008327629317626687,0.049,0.025
2.07e-06,176.91789200282162,0.008474132023329715,0.049,0.025
2.08e-06,178.18095227933418,0.008622026862323065,0.049,0.025
2.09e-06,179.4435447729447,0.008771318021251641,0.049,0.025
2.1000000000000002e-06,180.70565346720582,0.008922005537405244,0.049,0.025
2.11e-06,181.96726198188168,0.009074085167857592,0.049,0.025
2.12e-06,183.2283551883221,0.009227547946394911,0.049,0.025
2.13e-06,184.48892049426416,0.009382380691840766,0.049,0.025
2.14e-06,185.74894861506036,0.009538568150049363,0.049,0.025
2.15e-06,187.00843375582357,0.009696094823236561,0.049,0.025
2.16e-06,188.26737324216907,0.009854946641947535,0.049,0.025
2.17e-06,189.5257667485309,0.01001511138855978,0.049,0.025
2.18e-06,190.78361534081543,0.010176579447258631,0.049,0.025
2.19e-06,192.04092057744046,0.010339344337032416,0.049,0.025
2.2e-06,193.29768387886315,0.010503402563464742,0.049,0.025
2.21e-06,194.553906290704,0.010668753687408827,0.049,0.025
2.22e-06,195.80958865826352,0.010835399951591088,0.049,0.025
2.2300000000000002e-06,197.0647321153645,0.011003346392546772,0.049,0.025
2.24e-06,198.31933870798446,0.011172600732109288,0.049,0.025
2.25e-06,199.5734119354295,0.011343173167140097,0.049,0.025
2.26e-06,200.82695701195567,0.011515076738977776,0.049,0.025
2.27e-06,202.07998072818071,0.011688328178720534,0.049,0.025
2.28e-06,203.33249090558562,0.011862946894816982,0.049,0.025
2.29e-06,204.58449554495877,0.01203895402673034,0.049,0.025
2.3e-06,205.83600186716544,0.012216370887332607,0.049,0.025
2.31e-06,207.08701548674242,0.012395217034307513,0.049,0.025
2.3200000000000002e-06,208.33753993990317,0.012575508532276266,0.049,0.025
2.33e-06,209.58757671246443,0.012757256372949012,0.049,0.025
2.34e-06,210.83712579494406,0.012940464857099241,0.049,0.025
