Time,Strain_Energy,Surface_Energy,crack_tip_x,crack_tip_y
49.71,0.11532897940079137,0.41913655348719636,0.07625,0.02525
49.72,0.11525895778114745,0.41923120656313184,0.07625,0.02525
49.73,0.11518858564290241,0.4193257281820432,0.07625,0.02525
49.74,0.11511297094981186,0.41942023387392624,0.07625,0.02525
49.75,0.11503074685089859,0.41951444766949514,0.07625,0.02525
49.76,0.11495939218792942,0.4196077327237049,0.07625,0.02525
49.769999999999996,0.11489932448592821,0.4197002051834923,0.07625,0.02525
49.78,0.11483222556052335,0.4197928708464428,0.07625,0.02525
49.790000000000006,0.11475184225235138,0.4198862759825487,0.076375,0.025375
49.800000000000004,0.11466306859783462,0.41997954292261586,0.076375,0.025375
49.81,0.11457723358453412,0.42007338296923985,0.076375,0.025375
49.82,0.1145053720571531,0.42016786240299575,0.076375,0.025375
49.830000000000005,0.11444036097736733,0.4202630223541297,0.076375,0.025375
49.84,0.11437417286177219,0.4203581015982247,0.076375,0.025375
49.85,0.11430749997646106,0.420453406560968,0.076375,0.025375
49.86,0.1142340393680991,0.4205483330315985,0.076375,0.025125
49.870000000000005,0.1141524948713351,0.42064274898945786,0.076375,0.025125
49.88,0.1140765192016752,0.4207370459211773,0.076375,0.025125
49.89,0.11400488227478973,0.42083161001665903,0.076375,0.025125
49.9,0.11392933473399275,0.420926975010367,0.076375,0.025125
49.910000000000004,0.11385650272122225,0.42102294914013577,0.076375,0.025125
49.92,0.11378830920788975,0.42111902299362647,0.076375,0.025125
49.93,0.11371958708551196,0.4212141706020078,0.076375,0.025125
49.94,0.11364936059346593,0.4213081765046575,0.076375,0.025125
49.95,0.11358072540130401,0.4214016925390034,0.0765,0.02525
49.96,0.11352111295190892,0.4214958241391899,0.0765,0.02525
49.970000000000006,0.11347112324557057,0.4215906600297921,0.0765,0.02525
49.98,0.11342133244192718,0.42168527676282563,0.0765,0.02525
49.99,0.11336889406943727,0.42178057640691885,0.0765,0.02525
50.0,0.1133184077365422,0.42187611869736097,0.0765,0.02525
50.010000000000005,0.11326987893461354,0.421971372447278,0.0765,0.02525
50.019999999999996,0.11321907590333506,0.4220679085741097,0.0765,0.02525
50.03,0.11316061800526743,0.42216456559899246,0.0765,0.02525
50.04,0.11309455082445417,0.42226080375778363,0.0765,0.02525
50.050000000000004,0.11302973742768802,0.42235740786524106,0.0765,0.02525
50.059999999999995,0.11296770978082642,0.42245421260886146,0.0765,0.02525
50.07,0.11290403585923876,0.4225508930048282,0.0765,0.02525
50.08,0.11283928165545332,0.42264742756717666,0.0765,0.02525
50.09,0.11276827227614837,0.42274415997656184,0.076625,0.025375
50.1,0.11269488526219333,0.4228410642212061,0.076625,0.025375
50.11,0.11263540780247419,0.42293847306015636,0.076625,0.025375
50.120000000000005,0.11258168685626257,0.4230360282261674,0.076625,0.025375
50.13,0.11251454024497239,0.4231347676648811,0.076625,0.025375
50.14,0.11244281579822302,0.4232335597876524,0.076625,0.025375
50.15,0.11237290833805726,0.4233322254188257,0.076625,0.025375
50.160000000000004,0.11230199157957758,0.42343105774594497,0.076625,0.025375
50.17,0.11223558796985862,0.42353062051879814,0.076625,0.025375
50.18000000000001,0.11217085354503263,0.4236309344867182,0.076625,0.025375
50.19,0.11209881690260687,0.4237310019651492,0.076625,0.025375
50.2,0.11202546888340763,0.4238305298344905,0.076625,0.025375
50.21,0.11195256322619511,0.4239299127017636,0.076625,0.025375
50.220000000000006,0.11187841530186726,0.4240287508398014,0.076625,0.025375
50.23,0.11181025943908676,0.42412769954840185,0.076625,0.025375
50.24,0.11174376902247851,0.4242275441852822,0.07675000000000001,0.025500000000000002
50.25,0.11167051121928946,0.4243279015930119,0.07675000000000001,0.025500000000000002
50.260000000000005,0.11159785218951274,0.42442772789340605,0.07675000000000001,0.025500000000000002
50.269999999999996,0.11153130379316269,0.4245278482340467,0.07675000000000001,0.025500000000000002
50.28,0.11147367060453307,0.42462733131768865,0.07675000000000001,0.025500000000000002
50.29,0.11142040712283584,0.4247265547374369,0.07675000000000001,0.025500000000000002
50.300000000000004,0.11135780364850079,0.42482523847612996,0.07675000000000001,0.025500000000000002
50.309999999999995,0.11128601457325847,0.42492465883824554,0.07675000000000001,0.025500000000000002
50.32,0.11122220972797897,0.4250246646923201,0.07675000000000001,0.025500000000000002
50.33,0.11116843949310135,0.4251255673674082,0.07675000000000001,0.025500000000000002
50.34,0.11111667770288694,0.42522584418341447,0.07675000000000001,0.025500000000000002
50.35,0.11106641629395224,0.4253251994286644,0.07675000000000001,0.025500000000000002
50.36,0.11101607592475844,0.4254244271494007,0.07675000000000001,0.025500000000000002
50.37,0.11096471325280725,0.4255236084721668,0.07675000000000001,0.025500000000000002
50.38,0.11091187965505353,0.4256233559540008,0.07675000000000001,0.025500000000000002
50.39,0.1108536168895308,0.4257235202907335,0.07675000000000001,0.025500000000000002
50.4,0.1107873541437878,0.42582372164796156,0.076875,0.025625
50.410000000000004,0.11071553646200327,0.42592393076336804,0.076875,0.025625
50.42,0.11064475526083409,0.4260232550246723,0.076875,0.025625
50.43000000000001,0.11057924404011416,0.42612283496968767,0.076875,0.025625
50.44,0.11051853982870417,0.4262223597616707,0.076875,0.025625
50.45,0.11045310248175097,0.4263215217350373,0.076875,0.025625
50.46,0.1103831448855003,0.4264204537631915,0.076875,0.025625
50.470000000000006,0.11032380218021193,0.4265195367149431,0.076875,0.025625
50.48,0.11028145823977246,0.42661873286340873,0.076875,0.025375
50.49,0.11023909164160602,0.42671812705107337,0.076875,0.025375
50.5,0.11018391070911034,0.42681800897510147,0.076875,0.025375
50.510000000000005,0.11012709293354458,0.4269181036225504,0.076875,0.025375
50.52,0.1100755918745304,0.4270182163457667,0.076875,0.025375
50.53,0.11001908953157163,0.42711791126481463,0.076875,0.025375
50.54,0.10995543580189326,0.4272166826584045,0.076875,0.025375
50.550000000000004,0.10989465453747559,0.4273152248411032,0.077,0.025750000000000002
50.56,0.10983838091115225,0.4274138543930257,0.077,0.025750000000000002
50.57,0.10977819089784048,0.42751195045934026,0.077,0.025500000000000002
50.58,0.10971135477347484,0.4276100141024018,0.077,0.025500000000000002
50.59,0.10963987989883417,0.42770821966487493,0.077,0.025500000000000002
50.6,0.10957059148769922,0.42780627758615947,0.077,0.025500000000000002
50.61,0.10951198538537532,0.42790364825772026,0.077,0.025500000000000002
50.62,0.10946216124133264,0.42799994744311154,0.077,0.025500000000000002
50.63,0.10941003000661152,0.42809588305352847,0.077,0.025500000000000002
50.64,0.10935213652223304,0.42819228272221516,0.077,0.025500000000000002
50.65,0.10929624985611858,0.4282891942706486,0.077,0.025500000000000002
50.66,0.10924807907608192,0.4283862260927406,0.077,0.025500000000000002
50.67,0.1091970073611876,0.4284833023260675,0.077,0.025500000000000002
50.68,0.10913639914981946,0.4285806448537602,0.077,0.025500000000000002
50.690000000000005,0.1090829889838099,0.42867846598879245,0.077125,0.025625
50.699999999999996,0.10904341580405445,0.4287765018211712,0.077125,0.025625
50.71,0.10899831378943609,0.4288751395585314,0.077125,0.025625
50.72,0.10894396670529917,0.42897419921397223,0.077125,0.025625
50.730000000000004,0.108897412533303,0.42907242076093616,0.077125,0.025625
50.74,0.10885691122239616,0.4291708103362433,0.077125,0.025625
50.75,0.10881348176853485,0.42926897699904976,0.077125,0.025625
50.760000000000005,0.10876388016987579,0.4293671361811393,0.077125,0.025625
50.77,0.1087036505139535,0.4294653142195179,0.077125,0.025625
50.78,0.10864136262256377,0.42956310270690695,0.077125,0.025625
50.79,0.10859288172208613,0.42966033005856,0.077125,0.025625
50.800000000000004,0.10855277541410144,0.4297570825143495,0.077125,0.025625
50.81,0.10851053726394613,0.42985357869078816,0.077125,0.025625
50.82,0.10846716266838623,0.42995045485588623,0.077125,0.025625
50.83,0.108425966311379,0.43004742285746966,0.07725,0.025750000000000002
50.84,0.10839243091958944,0.43014452715034873,0.07725,0.025750000000000002
50.85,0.10836264583568474,0.4302413117925196,0.07725,0.025750000000000002
50.86000000000001,0.10832376052554392,0.43033808351387876,0.07725,0.025750000000000002
50.87,0.10828561646767869,0.430435066807206,0.07725,0.025750000000000002
50.88,0.10826433590798767,0.43053314742873333,0.07725,0.025750000000000002
50.89,0.10824321917358173,0.43063157588487594,0.07725,0.025750000000000002
50.900000000000006,0.10820410778522394,0.43073011286425944,0.07725,0.025750000000000002
50.91,0.10815627062146656,0.43082840551491125,0.07725,0.025750000000000002
50.92,0.10810636920533985,0.4309266945170969,0.07725,0.025750000000000002
50.93,0.10806362955006103,0.4310249016646517,0.07725,0.025750000000000002
50.940000000000005,0.10803601720142586,0.4311226622718785,0.07725,0.025750000000000002
50.949999999999996,0.10800349267759528,0.4312203502904752,0.07725,0.025750000000000002
50.96,0.10795393300888656,0.43131831302835805,0.07725,0.025750000000000002
50.97,0.1079004475504287,0.4314173099703792,0.07725,0.025750000000000002
50.980000000000004,0.1078534920858592,0.43151675825369845,0.07725,0.025750000000000002
50.989999999999995,0.10781423786197357,0.4316154059100504,0.07725,0.025750000000000002
51.0,0.10777240584333302,0.43171362622761533,0.07737500000000001,0.025875
51.01,0.10771827621050986,0.4318117523911437,0.07737500000000001,0.025875
51.02,0.10766785189497519,0.43191043446831356,0.07737500000000001,0.025875
51.03,0.10763018493853112,0.4320101787524528,0.07737500000000001,0.025875
51.04,0.10758891816507185,0.43211010706421366,0.07737500000000001,0.025875
51.050000000000004,0.10754009702996871,0.4322100137960833,0.07737500000000001,0.025875
51.06,0.10749350474691123,0.4323095040985364,0.07737500000000001,0.025875
51.07000000000001,0.10745330441736313,0.43240852118532563,0.07737500000000001,0.025625
51.08,0.1074231080768035,0.4325067631666595,0.07737500000000001,0.025625
51.09,0.10739234071049826,0.43260486429760714,0.07737500000000001,0.025625
